Positive Score,Negative Score,Polarity Score,Subjectivity Score,Average Sentence Length,Percentage of Complex Words,Fog Index,Word Count,Syllable Count Per Word,Personal Pronouns,Average Word Length,URL_ID
2,1,0.33333322222225925,0.05999999880000003,50.0,0.34,20.136000000000003,50,2.54,1,6.84,bctech2084
7,2,0.5555554938271674,0.054545454214876034,12.692307692307692,0.4121212121212121,5.241771561771562,165,2.4606060606060605,4,7.048484848484849,bctech2085
5,2,0.4285713673469475,0.04320987627648225,13.5,0.4567901234567901,5.582716049382716,162,2.4444444444444446,5,6.771604938271605,bctech2086
1,0,0.9999990000010001,0.01351351333089847,24.666666666666668,0.5540540540540541,10.08828828828829,74,2.9324324324324325,2,7.6891891891891895,bctech2087
2,7,-0.5555554938271674,0.08256880658193756,12.11111111111111,0.6055045871559633,5.08664627930683,109,2.9174311926605503,5,7.064220183486238,bctech2088
1,12,-0.8461537810650938,0.08724832156209181,12.416666666666666,0.4161073825503356,5.133109619686801,149,2.469798657718121,11,6.221476510067114,bctech2089
2,0,0.99999950000025,0.011428571363265307,25.0,0.3942857142857143,10.157714285714286,175,2.44,0,7.074285714285714,bctech2090
2,0,0.99999950000025,0.04255319058397467,15.666666666666666,0.48936170212765956,6.46241134751773,47,2.8085106382978724,0,8.106382978723405,bctech2091
8,1,0.7777776913580343,0.08823529325259517,25.5,0.4117647058823529,10.364705882352942,102,2.627450980392157,1,7.480392156862745,bctech2092
5,6,-0.09090908264462885,0.06962025272392246,9.294117647058824,0.3924050632911392,3.8746090841399856,158,2.6455696202531644,1,7.322784810126582,bctech2093
10,3,0.5384614970414233,0.06914893580239928,14.461538461538462,0.35106382978723405,5.925040916530278,188,2.4308510638297873,0,6.888297872340425,bctech2094
1,0,0.9999990000010001,0.007407407352537723,16.875,0.4148148148148148,6.915925925925926,135,2.7037037037037037,0,7.237037037037037,bctech2095
3,0,0.9999996666667778,0.050847456765297346,29.5,0.4745762711864407,11.989830508474576,59,2.440677966101695,2,6.406779661016949,bctech2096
2,2,0.0,0.03960396000392119,10.1,0.5445544554455446,4.257821782178218,101,2.8217821782178216,0,7.435643564356436,bctech2097
3,2,0.199999960000008,0.03378378355551498,11.384615384615385,0.4527027027027027,4.734927234927236,148,2.6216216216216215,2,7.256756756756757,bctech2098
1,1,0.0,0.019047618866213156,9.545454545454545,0.38095238095238093,3.9705627705627706,105,2.552380952380952,1,7.019047619047619,bctech2099
